"Lon","site","Depth","tempdiff","saldiff","distance","site2"
152.901498808625,"DiamondHead",14.5751822213656,-0.00472366896140031,0.015246789240102,277.893473273368,"DH"
152.904981129101,"DiamondHead",11.3984160372103,-0.0724983490951985,0.00784414653359988,276.095411163154,"DH"
152.906536297976,"DiamondHead",12.7192370961518,-0.102806053845402,-0.00114142598859956,275.227624030784,"DH"
152.909800720152,"DiamondHead",12.0856004913655,-0.116608601797399,-0.000805952662702225,260.808410290765,"DH"
152.911409431756,"DiamondHead",12.0281280952835,-0.0873000421564001,0.00905984539689797,253.941537534401,"DH"
152.913020268657,"DiamondHead",43.524035496457,0.433778520070401,0.0399282330158997,246.838923940207,"DH"
152.914376894704,"DiamondHead",43.6270155271682,0.490554926367601,0.0484299496015979,246.897159593328,"DH"
152.915890057809,"DiamondHead",12.8518805308153,-0.131844136535602,0.0067513270311963,250.402618266944,"DH"
152.917625745104,"DiamondHead",12.2863178367736,-0.0151246345571003,0.0114212065279062,244.535111763167,"DH"
152.919681609557,"DiamondHead",48.8502714572386,0.737096143107799,0.0784673918809986,239.630813531651,"DH"
152.921526892415,"DiamondHead",49.2954686966806,0.677347890732801,0.0711596988534993,242.538001380938,"DH"
152.922885068276,"DiamondHead",12.5852735500901,0.314786486486501,-0.00781981940370002,244.799714227446,"DH"
152.924589289299,"DiamondHead",14.0339408291779,0.212144722125998,-0.00450205473649845,247.639949951605,"DH"
152.926393127458,"DiamondHead",48.8105075261077,0.6207312041712,0.0726634253517986,250.648958362018,"DH"
152.928218192352,"DiamondHead",49.6786113634691,0.731570043849299,0.0791393851484017,253.696253402554,"DH"
152.929645223648,"DiamondHead",12.8449558756549,0.264942197257199,-0.00860487885889683,256.080971819393,"DH"
152.931427000425,"DiamondHead",13.6211527895916,0.287804477344,-0.00316310944379694,258.011432744269,"DH"
152.933275627331,"DiamondHead",48.6506083513233,0.880585903409401,0.103307909303901,249.070033712572,"DH"
152.935114606192,"DiamondHead",49.4736656100788,0.906421397398599,0.0968056910990001,238.438977573755,"DH"
152.936504348465,"DiamondHead",13.6695217229693,0.190275835896703,-0.00427634686040079,231.643529504824,"DH"
152.938056945711,"DiamondHead",12.1749967735188,0.2330463827412,0.0017648269469035,233.022765392389,"DH"
152.938661817264,"DiamondHead",43.414200722821,0.4596624209128,0.0617559288616008,234.025893778023,"DH"
152.939274123992,"DiamondHead",42.9074269482969,0.3832742830865,0.050169075873697,233.076345086833,"DH"
152.940241495813,"DiamondHead",11.9700915962424,0.1727004402217,-0.00208544972029756,228.073753279602,"DH"
152.941652692163,"DiamondHead",12.1811986753608,0.187285504800599,0.00289709162289853,222.022219676351,"DH"
152.943625895102,"DiamondHead",49.0513880268151,0.727937926489901,0.087978849264303,223.291690772329,"DH"
152.945878092402,"DiamondHead",52.9891608594583,0.691702213750197,0.0773675776782028,215.257317831613,"DH"
152.947702789367,"DiamondHead",12.0690853724308,0.181388499094101,0.000634917453496087,212.32029178198,"DH"
152.949119896632,"DiamondHead",13.9791053670572,0.0228834177456996,-0.00123402288839713,213.557999753133,"DH"
152.950613466889,"DiamondHead",46.4521267825743,0.373540190424599,0.0682930337700043,199.626099127267,"DH"
152.953740755713,"DiamondHead",46.025579695664,0.2849523384055,0.0436311608201976,175.681779321944,"DH"
152.954260996137,"DiamondHead",18.8439721680672,0.116296589513997,-0.0125802147884997,173.005477100563,"DH"
152.954684956912,"DiamondHead",18.8138714703154,0.1036123786917,-0.00614970764059564,170.824640993199,"DH"
152.955133311036,"DiamondHead",47.7312794331014,0.495305723641398,0.0920169422113943,168.518496323853,"DH"
152.955936177695,"DiamondHead",70.3549191092127,0.426872676274401,0.0509638452055015,164.389326693913,"DH"
152.956739044347,"DiamondHead",70.7950802145984,0.314517631157399,0.0346422147774987,160.260717268779,"DH"
152.95733337415,"DiamondHead",47.5452798818842,0.2948246359827,0.0608924983738959,157.204833005981,"DH"
152.957875569726,"DiamondHead",47.826600472367,0.331818912594798,0.070195965778602,154.417278345376,"DH"
152.962492317285,"DiamondHead",45.090603846848,0.0308769153458002,0.0175656527377015,112.311321643389,"DH"
152.963919462011,"DiamondHead",14.8210438546056,0.167958128574501,-0.000118676033800114,104.916401673474,"DH"
152.96557299646,"DiamondHead",13.4397235958676,0.2604603405576,0.00434461907420314,96.4254260927842,"DH"
152.96719001938,"DiamondHead",46.8009935720098,0.123874203335102,0.0411576503852942,88.1242344645523,"DH"
152.970084301904,"DiamondHead",48.4517644252161,0.136955509100602,0.0412477457848013,73.2717363582244,"DH"
152.971769332764,"DiamondHead",14.1525771833614,0.376459336719503,0.00903563774300409,64.628065978972,"DH"
152.973460515197,"DiamondHead",13.8730667187836,0.458119056173299,0.013975823940001,55.955318410703,"DH"
152.975021723214,"DiamondHead",47.1444427670265,-0.046713636506599,0.0273540802335006,47.1871012197893,"DH"
152.976668380839,"DiamondHead",75.0693917234144,-0.0317175680463997,0.024151999241198,28.4363633790092,"DH"
152.978117896883,"DiamondHead",75.1099332591098,-0.2800992993267,-0.00340756134540499,13.6983042162401,"DH"
152.979807109711,"DiamondHead",69.9463253403942,-0.722843203847299,-0.0500207347035015,4.98553710087539,"DH"
152.980799924349,"DiamondHead",43.686890082587,0.0663592512633002,0.0105766121955,0.0992126440829629,"DH"
152.982167150407,"DiamondHead",13.1495539808208,0.567739800075799,0.00865043401299914,7.10012859614293,"DH"
152.983701808723,"DiamondHead",13.580094709181,0.587976805945601,0.0119771238937005,14.9564526658619,"DH"
