TIME (UTC),LONGITUDE (degrees_east),LATITUDE (degrees_north),start_time (days since 1985-01-01 00:00:00+00:00),end_time (days since 1985-01-01 00:00:00+00:00),GSLA (m),GSL (m),UCUR (m/s),VCUR (m/s)
2004-01-02T00:00:00Z,153.0,-31.8,6932.5152546296595,6947.465335648158,-0.03814871896601712,2.1065722613034654,-0.2014252361405704,-0.6944592800573757
2004-01-04T00:00:00Z,153.0,-31.8,6934.7507870370755,6949.4912847222295,-6.103795034562739E-4,2.144110600766026,-0.22049959562357896,-0.6985793417057056
2004-01-06T00:00:00Z,153.0,-31.8,6936.567152777803,6951.447361111059,6.103795034562739E-4,2.1453313597729387,-0.21149649794759892,-0.5234004242137549
2004-01-08T00:00:00Z,153.0,-31.8,6938.593101851875,6953.473310185131,0.023499610883066548,2.168067996276685,-0.2226359238856759,-0.4445088733920315
2004-01-10T00:00:00Z,153.0,-31.8,6940.549189814832,6955.4293865740765,0.02014252361405704,2.1647109090076757,-0.2154639647200647,-0.323195947080097
2004-01-12T00:00:00Z,153.0,-31.8,6942.505277777789,6957.455324074021,0.013275754200173958,2.1578441395937924,-0.18479239467138694,-0.25239192467916927
2004-01-14T00:00:00Z,153.0,-31.8,6944.531215277733,6959.481261574081,-0.021973662124425863,2.1227473181450565,-0.1428288038087681,-0.184944989547251
2004-01-16T00:00:00Z,153.0,-31.8,6946.557164351805,6961.437361111166,-0.08560572535974242,2.058962660033876,-0.05890162208353043,-0.10468008484275099
2004-01-18T00:00:00Z,153.0,-31.8,6948.722824074095,6963.463310185238,-0.08575832023560649,2.058810065158012,-0.027314482779668258,-0.042421375490211036
2004-01-20T00:00:00Z,153.0,-31.8,6950.539178240695,6965.48925925931,-0.07767079181481086,2.0670501884546715,-0.0508140936627348,-0.09750812567713976
2004-01-22T00:00:00Z,153.0,-31.8,6952.565127314767,6967.445347222267,-0.13596203439488502,2.0087589458745976,-0.09231989989776143,-0.19730517449224055
2004-01-24T00:00:00Z,153.0,-31.8,6954.521203703713,6969.471296296339,-0.0973555308012757,2.0472128545923427,-0.0949140127874506,-0.16205575816764073
2004-01-26T00:00:00Z,153.0,-31.8,6956.547141203657,6971.49724537041,-0.0198373338623289,2.1248836464071537,-0.04043764210397815,-0.07004104802160743
2004-01-28T00:00:00Z,153.0,-31.8,6958.503229166614,6973.467037037015,-0.0033570872690095064,2.1413638930004733,-0.09613477179436314,-0.07995971495277189
2004-01-30T00:00:00Z,153.0,-31.8,6960.738750000019,6975.409421296325,-0.03570720095219203,2.1090137793172907,-0.13229975737414737,-0.1287900752292738
2004-02-01T00:00:00Z,153.0,-31.8,6962.694849536987,6977.435370370396,-0.04730441151786123,2.0974165687516213,-0.13794576778111792,-0.18250347153342591
2004-02-03T00:00:00Z,153.0,-31.8,6964.511215277831,6979.461319444468,-0.020752903117513315,2.1239680771519693,-0.11353058764286696,-0.15961424015381565
2004-02-05T00:00:00Z,153.0,-31.8,6966.537164351903,6981.48726851854,-0.03448644194527948,2.110081943448339,-0.002746707765553233,0.08407977660110173
2004-02-07T00:00:00Z,153.0,-31.8,6968.563113425975,6983.443356481497,-0.0532556116765599,2.0913127737170587,-0.06302168373186029,-0.06134314009735553
2004-02-09T00:00:00Z,153.0,-31.8,6970.519201388932,6985.469305555569,-0.066836555628462,2.0777318297651566,-0.0804174995803641,-0.025788534021027574
2004-02-11T00:00:00Z,153.0,-31.8,6972.545150463004,6987.495243055513,-0.0643950376146369,2.0801733477789814,-0.07904414569758747,0.021821067248561792
2004-02-13T00:00:00Z,153.0,-31.8,6974.501238425961,6989.45133101847,-0.051119283414462945,2.0936016968550195,-0.08163825858727664,0.013275754200173958
2004-02-15T00:00:00Z,153.0,-31.8,6976.55103009264,6991.477280092542,-0.04837257564890971,2.096348404620573,-0.016327651717455326,-4.5778462759220545E-4
2004-02-17T00:00:00Z,153.0,-31.8,6978.50292824069,6993.258657407365,-0.09979704881510079,2.044923931454382,-0.04913555002823005,-0.10712160285657607
2004-02-19T00:00:00Z,153.0,-31.8,6980.537534722243,6995.484421296278,-0.14588070132604947,1.998840278943433,-0.05264523217310363,-0.11444615689805136
2004-02-21T00:00:00Z,153.0,-31.8,6982.535173611133,6997.4852777777705,-0.10086521294614927,2.043703172447469,-0.014649108082950574,-0.10284894633238216
2004-02-23T00:00:00Z,153.0,-31.8,6984.519409722183,6999.466307870345,-0.02319442113133841,2.121526559138144,0.05188225779378328,-0.05203485266964735
2004-02-25T00:00:00Z,153.0,-31.8,6986.517210648162,7001.4673148147995,0.07126180702851999,2.2158301924221386,0.21149649794759892,-0.016785436345047533
2004-02-27T00:00:00Z,153.0,-31.8,6988.501284722239,7003.493275462999,0.07995971495277189,2.22452810034639,0.17029588146430044,-0.17563670211954283
2004-02-29T00:00:00Z,153.0,-31.8,6990.569097222178,7004.995219907374,-0.03616498557978423,2.108555994689698,0.010834236186348862,-0.2749759663070514
2004-03-02T00:00:00Z,153.0,-31.8,6992.525185185135,7007.4054629629245,-0.022431446752018067,2.1221369386416002,0.002288923137961027,-0.2304182625547434
2004-03-04T00:00:00Z,153.0,-31.8,6994.551134259207,7009.186840277747,-0.044099919124715795,2.100621061144767,0.0016785436345047532,-0.2818427357209345
2004-03-06T00:00:00Z,153.0,-31.8,6996.507222222164,7011.387499999953,-0.06851509926296676,2.0762058810065156,-0.05966459646285078,-0.45732684296461323
2004-03-08T00:00:00Z,153.0,-31.8,6998.533182870364,7013.48331018514,-0.05676529382143348,2.087803091572185,-0.06073276059389926,-0.4438984938885752
2004-03-10T00:00:00Z,153.0,-31.8,7000.559131944436,7015.439398148097,-0.018311385103688217,2.126409595165794,-0.03311308806250286,-0.33174126012848487
2004-03-12T00:00:00Z,153.0,-31.8,7002.5152314815205,7017.465347222169,-0.005340820655242397,2.139227564738376,-0.013580943951902095,-0.30244304396258376
2004-03-14T00:00:00Z,153.0,-31.8,7004.541180555592,7019.491296296241,-0.010834236186348862,2.1338867440831337,-0.047609601269589366,-0.3949155387362092
2004-03-16T00:00:00Z,153.0,-31.8,7006.567129629664,7021.447384259314,-0.007629743793203424,2.1370912364762793,-0.1094105259945371,-0.5516304762486076
2004-03-18T00:00:00Z,153.0,-31.8,7008.593078703736,7023.473333333386,-0.03143454442799811,2.1132864358414842,-0.09689774617368349,-0.5740619230006256
2004-03-20T00:00:00Z,153.0,-31.8,7010.758761574049,7025.49927083333,-0.035402011200463886,2.109166374193155,-0.08240123296659699,-0.6003082416492455
2004-03-22T00:00:00Z,153.0,-31.8,7012.505266203661,7027.455358796287,0.02838264691071674,2.173103627180199,-0.045778462759220546,-0.626249370546137
2004-03-24T00:00:00Z,153.0,-31.8,7014.531215277733,7029.481307870359,0.05417118093174431,2.198739566325363,0.02212625700028993,-0.5668899638350144
2004-03-26T00:00:00Z,153.0,-31.8,7016.557164351805,7031.437384259305,0.02319442113133841,2.167915401400821,-0.1011704026978774,-0.6685181511604841
2004-03-28T00:00:00Z,153.0,-31.8,7018.513252314762,7033.463333333377,0.021821067248561792,2.1665420475180444,-0.12726412647063312,-0.5874902720766637
2004-03-30T00:00:00Z,153.0,-31.8,7020.539201388834,7035.489270833321,-0.0016785436345047532,2.143042436634978,-0.18341904078861032,-0.7023942136023072
2004-04-01T00:00:00Z,153.0,-31.8,7022.565150462906,7037.445358796278,-0.002746707765553233,2.1419742725039295,-0.21576915447179285,-0.7223841423405002
2004-04-03T00:00:00Z,153.0,-31.8,7024.521226851852,7039.471296296339,0.03235011368318252,2.177071093952665,-0.2023408053957548,-0.6784368180916485
2004-04-05T00:00:00Z,153.0,-31.8,7026.5471759259235,7041.49724537041,0.055239345062792794,2.1999603253322753,-0.2583431248378679,-0.7113973112782873
2004-04-07T00:00:00Z,153.0,-31.8,7028.503263888881,7043.4533333333675,0.051729662917919216,2.1962980483115375,-0.2844368486106236,-0.7809805746723025
2004-04-09T00:00:00Z,153.0,-31.8,7030.738784722169,7045.409421296325,0.04150580623502663,2.186074191628645,-0.30137487983153527,-0.8037172111760487
2004-04-11T00:00:00Z,153.0,-31.8,7032.555150463013,7047.435370370396,0.03860650359360933,2.183327483863092,-0.33097828574916455,-0.8153144217417179
2004-04-13T00:00:00Z,153.0,-31.8,7034.511226851842,7049.461319444468,0.0450154883799002,2.1897364686493828,-0.2891672897624098,-0.7410007171959165
2004-04-15T00:00:00Z,153.0,-31.8,7036.537175925914,7051.48726851854,0.03738574458669678,2.182106724856179,-0.38469168205331666,-0.8972578700807227
2004-04-17T00:00:00Z,153.0,-31.8,7038.563113425975,7053.443356481497,-0.010834236186348862,2.1338867440831337,-0.3550882761356874,-0.824470114293562
2004-04-19T00:00:00Z,153.0,-31.8,7040.519201388932,7055.469305555569,0.05493415531106465,2.199655135580547,-0.30518975172813695,-0.7405429325683244
2004-04-21T00:00:00Z,153.0,-31.8,7042.545150463004,7057.495254629641,0.0804174995803641,2.2249858849739828,-0.28107976134161416,-0.6874399157676285
2004-04-23T00:00:00Z,153.0,-31.8,7044.501238425961,7059.451342592598,0.06561579662154945,2.2101841820151678,-0.27619672531396394,-0.6726382128088139
