TIME (UTC),LONGITUDE (degrees_east),LATITUDE (degrees_north),start_time (days since 1985-01-01 00:00:00+00:00),end_time (days since 1985-01-01 00:00:00+00:00),GSLA (m),GSL (m),UCUR (m/s),VCUR (m/s)
1993-01-01T00:00:00Z,151.2,-34.2,2907.000115740695,2936.956122685224,-0.0585964323318023,2.009674515129782,-0.07995971495277189,-0.08072268933209223
1993-01-03T00:00:00Z,151.2,-34.2,2914.0269444443984,2933.9521296296734,-0.1156669159049639,1.9526040315566202,-0.1268063418430409,-0.13443608563624435
1993-01-05T00:00:00Z,151.2,-34.2,2916.052905092598,2935.9780787037453,-0.08774205362183937,1.980528893839745,-0.14679627058123387,-0.14389696793981657
1993-01-07T00:00:00Z,151.2,-34.2,2918.0090046296827,2937.999976851861,-0.05951200158698671,2.0086063509987335,-0.08545313048387836,-0.044099919124715795
1993-01-09T00:00:00Z,151.2,-34.2,2920.0349537037546,2939.9601273147855,-0.0726351609112966,1.9954831916744236,-0.06454763249050097,-0.0025941128896891643
1993-01-11T00:00:00Z,151.2,-34.2,2922.0006828703918,2941.986064814846,-0.07156699678024812,1.996551355805472,-0.07278775578716067,-0.01297056444844582
1993-01-13T00:00:00Z,151.2,-34.2,2924.0169907407835,2943.9999652777333,-0.06546320174568537,2.002655150840035,-0.06714174538019013,-0.007629743793203424
1993-01-15T00:00:00Z,151.2,-34.2,2926.11280092597,2945.968101851875,-0.0842323714769658,1.9838859811087544,-0.07278775578716067,-0.031739734179726246
1993-01-17T00:00:00Z,151.2,-34.2,2928.0000115741277,2947.994050925947,-0.11673508003601239,1.9515358674255718,-0.09613477179436314,-0.06378465811118063
1993-01-19T00:00:00Z,151.2,-34.2,2930.0250000000233,2949.950127314776,-0.10101780782201333,1.9671005447637069,-0.09460882303572246,-0.05966459646285078
1993-01-21T00:00:00Z,151.2,-34.2,2932.050949074095,2951.9760648148367,-0.1031541360841103,1.96496421650161,-0.07232997115956846,-0.004425251400057986
1993-01-23T00:00:00Z,151.2,-34.2,2934.0070486110635,2953.9998379629105,-0.1147513466497795,1.9533670059359407,-0.07080402240092777,0.0033570872690095064
1993-01-25T00:00:00Z,151.2,-34.2,2936.0329976851353,2955.9581018518656,-0.12955304960859415,1.938565302977126,-0.0721773762837044,-6.103795034562739E-4
1993-01-27T00:00:00Z,151.2,-34.2,2938.0,2957.984062499949,-0.13916652678803046,1.9291044206735537,-0.0842323714769658,-0.05234004242137549
1993-01-29T00:00:00Z,151.2,-34.2,2940.0150347221643,2959.978564814781,-0.15473120412616545,1.9133871484595548,-0.07782338669067493,-0.06134314009735553
