TIME (UTC),LONGITUDE (degrees_east),LATITUDE (degrees_north),start_time (days since 1985-01-01 00:00:00+00:00),end_time (days since 1985-01-01 00:00:00+00:00),GSLA (m),GSL (m),UCUR (m/s),VCUR (m/s)
2004-01-02T00:00:00Z,153.8,-29.0,6932.5152546296595,6947.465335648158,0.005951200158698671,2.2664916912090094,0.054018586055880245,-0.739779958189004
2004-01-04T00:00:00Z,153.8,-29.0,6934.7507870370755,6949.4912847222295,-0.02319442113133841,2.237498664794836,0.011902400317397342,-0.6724856179329498
2004-01-06T00:00:00Z,153.8,-29.0,6936.567152777803,6951.447361111059,-0.09613477179436314,2.164405719255947,-0.03235011368318252,-0.6872873208917645
2004-01-08T00:00:00Z,153.8,-29.0,6938.593101851875,6953.473310185131,-0.05844383745593823,2.2020966535943725,-0.005340820655242397,-0.5423221888208994
2004-01-10T00:00:00Z,153.8,-29.0,6940.549189814832,6955.4293865740765,0.003814871896601712,2.264355362946912,0.043031754993667314,-0.48967695664779576
2004-01-12T00:00:00Z,153.8,-29.0,6942.505277777789,6957.455324074021,-0.018769169731280424,2.241923916194894,0.05783345795248195,-0.5465948453450933
2004-01-14T00:00:00Z,153.8,-29.0,6944.531215277733,6959.481261574081,-0.05386599118001618,2.2068270947461586,0.03616498557978423,-0.648375627546427
2004-01-16T00:00:00Z,153.8,-29.0,6946.557164351805,6961.437361111166,-0.051119283414462945,2.2094212076358475,-0.05676529382143348,-0.8826087619977722
2004-01-18T00:00:00Z,153.8,-29.0,6948.722824074095,6963.463310185238,-0.07583965330444203,2.1848534326217326,-0.04837257564890971,-0.8832191415012284
2004-01-20T00:00:00Z,153.8,-29.0,6950.539178240695,6965.48925925931,-0.07156699678024812,2.1889734942700625,-0.052950421924831764,-0.8865762287702379
2004-01-22T00:00:00Z,153.8,-29.0,6952.565127314767,6967.445347222267,-0.10468008484275099,2.1560130010834238,-0.07187218653197626,-1.0439015457860925
2004-01-24T00:00:00Z,153.8,-29.0,6954.521203703713,6969.471296296339,-0.12848488547754566,2.132208200448629,-0.034791631697007615,-0.9668411334747379
