datenum,datestr,datenum_start,datenum_end,File,Vol,ObliqueVol,TransitVol,FlowmeterVol,VerticalVol,RecordedVol,VolMethod,Lat,Lon,Unit,cast_no,Voyage,User,Orientation,MinESD,MaxESD,Temp,Salt,Depth,Depth_min,Depth_max,SampleDist,SampleSecs,GrndDist,ParetoSlope,ParetoIntercept,ParetoRsq,Pareto_illconditioned,NBSSSlope,NBSSIntercept,NBSSRsq,bSlope,NBSS_Curve,NBSS_CurveRsq,Lin_illconditioned,NLin_illconditioned,Biomass,Abundance,Total_Counts,GeoMn,SmlBio,LgBin,NoBins,NB_ 1,NB_ 2,NB_ 3,NB_ 4,NB_ 5,NB_ 6,NB_ 7,NB_ 8,NB_ 9,NB_10,NB_11,NB_12,NB_13,NB_14,NB_15,NB_16,NB_17,NB_18,NB_19,NB_20,NB_21,NB_22,Binned_Bio_ 1,Binned_Bio_ 2,Binned_Bio_ 3,Binned_Bio_ 4,Binned_Bio_ 5,Binned_Bio_ 6,Binned_Bio_ 7,Binned_Bio_ 8,Binned_Bio_ 9,Binned_Bio_10,Binned_Bio_11,Binned_Bio_12,Binned_Bio_13,Binned_Bio_14,Binned_Bio_15,Binned_Bio_16,Binned_Bio_17,Binned_Bio_18,Binned_Bio_19,Binned_Bio_20,Binned_Bio_21,Binned_Bio_22,BasedowBin_1,BasedowBin_2,BasedowBin_3,BasedowBin_4
732196.414049184,06-Sep-2004 09:56:13,732196.414049184,732196.414049184,SS0408_008,0.286634808354054,0.286634808354054,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7526042461471,152.901498808625,OPC2T,1,SS2004,MNF,Oblique,0.0003,0.012,18.26613744218,35.6223291297609,14.5751822213656,9.95954093036293,29.5769590067786,145.404496635825,33.9999966323376,143.316797850972,-1.00419551768307,-10.6078446446669,0.954349018615723,0,-0.997362993051249,2.16025833413301,0.946087022403984,-0.576752361614731,-0.459138629347922,0.968141912538486,0,0,971.752263371104,11205.8965149568,3212,0.000520797554591004,26.6403301254943,3.80573018588427,13,3784.64405692508,5173.84872067734,3784.64405692507,4287.76142163535,2515.58682355139,1396.71387815092,720.884582271444,390.479148730365,247.804075155808,150.184287973217,82.6013583852694,30.0368575946434,45.0552863919652,0,7.50921439866086,0,0,0,0,0,0,0,26.6403301254943,57.7202612025792,66.9174837731651,120.155920283843,111.725902855938,98.3155040345624,80.423005449167,69.0418483373925,69.4421255580881,66.702031555784,58.1435776548487,33.5095856038196,79.6636711585298,0,33.351015777892,0,0,0,0,0,0,0,271.433995385082,359.50626067706,227.79732037254,146.524272540241
732196.414974418,06-Sep-2004 09:57:33,732196.414974418,732196.414974418,SS0408_008,0.314644571697395,0.314644571697395,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7525003678059,152.904981129101,OPC2T,2,SS2004,MNF,Oblique,0.0003,0.012,18.2505728884182,35.6178284207844,11.3984160372103,2.3412777181883,29.7447687638624,159.488283443833,37.4999977648258,157.385685396806,-0.867385310022661,-9.18544245412592,0.969854938293562,0,-0.84649422419892,2.38274993530047,0.957321598031703,-0.540416303945649,-0.419676923921046,0.987441253734753,0,0,1443.51928764804,11441.4813533228,3600,0.000537796391745769,27.7357704783839,6.03167586395174,14,3940.2671967942,4829.56361273733,3810.29310523327,3974.4709050997,2394.25958138537,1395.51129886461,937.181607570843,547.259332888083,424.125982988264,362.559308038355,198.38150817193,116.292608238717,68.4074166110103,27.3629666444041,6.84074166110103,0,0,0,0,0,0,0,27.7357704783839,53.8793629793598,67.3709926760223,111.376581456688,106.337340813431,98.2308537776095,104.553438076095,96.7626465723838,118.852806373746,161.02511608891,139.641899977974,129.737842868147,120.95330821548,76.6792299185459,30.382097375266,0,0,0,0,0,0,0,260.362707590454,405.884279239519,549.257665308777,357.752478377438
732196.415369972,06-Sep-2004 09:58:07,732196.415369972,732196.415369972,SS0408_008,0.26555293728356,0.26555293728356,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7524533638581,152.906536297976,OPC2T,3,SS2004,MNF,Oblique,0.0003,0.012,18.2418647513766,35.6101388223247,12.7192370961518,2.33854689998235,29.6107181121165,134.815899122932,33.4999993443489,132.781679170484,-0.964859424562803,-10.1999992054713,0.95358396469966,0,-0.905554722396725,2.32077464416015,0.942882476669203,-0.569245866217127,-0.522042036690346,0.972128578574162,0,0,1158.26694270732,12415.6035844538,3297,0.000524669823277109,30.0104584279644,2.40125341189365,12,4263.41950718921,5171.21985852987,4466.05351418488,4498.47495530419,2674.76889234304,1783.17926156202,867.273549941532,559.26985930809,251.266168674649,162.107205596548,137.791124757065,81.0536027982738,8.10536027982738,16.2107205596548,8.10536027982738,0,0,0,0,0,0,0,30.0104584279644,57.6909332075007,78.9656990381198,126.060744751569,118.795728547391,125.519027645479,96.7543864138334,98.8862655831263,70.4123078792545,71.9974112408428,96.9919759078698,90.4246601998443,14.3313428381343,45.4272954059706,35.9987056204214,0,0,0,0,0,0,0,292.727835425154,439.955408189829,329.826355227811,186.182004064371
732196.416269229,06-Sep-2004 09:59:25,732196.416269229,732196.416269229,SS0408_008,0.293471622014392,0.293471622014392,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7522414207498,152.909800720152,OPC2T,4,SS2004,MNF,Oblique,0.0003,0.012,18.2734014003132,35.613194647464,12.0856004913655,2.42105227922974,29.4717175872472,148.83222292479,35.0000012665987,146.735995527768,-0.856665109529312,-9.05642137680894,0.965773040130574,0,-0.85323646881569,2.39683296507206,0.962269422164551,-0.51157747621431,-0.359114619780771,0.987383950596328,0,0,1630.55649955914,11749.0065183574,3448,0.000547928742156723,27.5685001750213,9.55956201590912,15,3916.50403182818,4789.28302019438,3733.14710149914,4099.8609621572,2449.6485891959,1804.2321944377,1070.80447312156,689.42205803717,491.396573281812,286.036811313294,212.69403918168,88.0113265579364,66.0084949184524,58.674217705291,22.0028316394841,0,0,0,0,0,0,0,27.5685001750213,53.429986422662,66.0069498821967,114.890386498211,108.797358034061,127.000955862457,119.460612828616,121.898885833526,137.704041062256,127.038831237377,149.716573984198,98.1868050646161,116.711699202312,164.422735596724,97.7221778749053,0,0,0,0,0,0,0,261.895822978091,477.157812558661,512.646251348447,477.043417738557
732196.416678191,06-Sep-2004 10:00:00,732196.416678191,732196.416678191,SS0408_008,0.304673844134914,0.304673844134914,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7521390914894,152.911409431756,OPC2T,5,SS2004,MNF,Oblique,0.0003,0.012,18.3250531766768,35.6244010385269,12.0281280952835,2.41895033741905,29.7844872401827,154.460948779002,38.0000051110983,152.364918884486,-0.952435834316179,-10.0707694723105,0.945295868172237,0,-1.04420890456466,2.16183758227108,0.926219392271228,-0.565950520815766,-0.850571336706265,0.993820416235035,0,0,1077.2401785514,11973.4597184017,3648,0.000526139388188591,29.4391000465645,3.80573018588427,13,4182.24978848252,5051.19695737331,4069.21601041542,3920.85917670235,2854.10289619415,1695.50667100642,974.916335828696,579.298112593862,282.584445167737,247.26138952177,84.7753335503212,42.3876667751606,14.1292222583869,0,7.06461112919344,0,0,0,0,0,0,0,29.4391000465645,56.3519390507211,71.9490901259854,109.874220217304,126.760571305133,119.347702891478,108.76318306293,102.427524137687,79.1886271836426,109.817326625734,59.6738514457388,47.2883404621436,24.9823229604116,0,31.3763790359241,0,0,0,0,0,0,0,267.614349440575,457.298981397229,295.968145717259,103.647042458479
732196.417128585,06-Sep-2004 10:00:39,732196.417128585,732196.417128585,SS0408_008,0.28805596615924,0.28805596615924,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7520345695962,152.913020268657,OPC2T,5,SS2004,MNF,Oblique,0.0003,0.012,17.6625684233651,35.5805823971227,43.524035496457,31.278811257344,51.2510758129446,145.902177337539,36.0000059008598,143.925751417222,-0.962171109276787,-10.2398032500505,0.963709200120879,0,-1.02831339260723,1.94882192090489,0.959616311171027,-0.651980345833552,-0.382794007004703,0.974243769849824,0,0,649.460214688161,7866.52687744484,2266,0.000497398264840284,23.5634639471061,3.80573018588427,13,3347.5307313343,3534.33490160966,2338.7882118474,2323.84387822537,1501.90552901383,874.243516888645,567.88467763707,336.247506495633,156.915503031295,52.3051676770985,37.3608340550703,37.3608340550703,22.4165004330422,7.47216681101407,7.47216681101407,0,0,0,0,0,0,0,23.5634639471061,39.4295899845317,41.3528511165526,65.1210672252491,66.7048140268524,61.538510754719,63.3540980723977,59.4529808384941,43.9724248144769,23.2305322481575,26.298508869538,41.680327679209,39.6353205589961,20.9392499116556,33.186474640225,0,0,0,0,0,0,0,169.46697227344,251.050403692463,135.181793611381,135.441372790086
732196.417901835,06-Sep-2004 10:01:46,732196.417901835,732196.417901835,SS0408_008,0.33250331562824,0.33250331562824,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7519940555116,152.915890057809,OPC2T,6,SS2004,MNF,Oblique,0.0003,0.012,18.3427399997004,35.6258263752054,12.8518805308153,2.54850852745107,29.7894529304582,168.350360332387,39.4999969750643,166.24775086627,-0.955862960076768,-10.1270419205125,0.949810292924249,0,-0.989579462767691,2.16273380410626,0.92604369224717,-0.58153511392309,-0.856824490832073,0.990840061569002,0,0,898.570824267557,10667.5627979776,3547,0.000517081964630881,27.8864631974519,2.40125341189365,12,3961.6752762345,4854.99421107169,3476.17585512733,3424.38925020923,1974.36431250249,1462.97158893627,977.472167829103,556.706002869555,213.619745287154,187.726442828106,84.1532329919093,25.893302459049,6.47332561476226,6.47332561476226,0,0,0,0,0,0,0,0,27.8864631974519,54.1630706905133,61.4633603264521,95.961645555377,87.6883410724299,102.979422918695,109.0483156569,98.4329420498115,59.8626522368135,83.3757997082118,59.2359512364173,28.8869710349404,11.4456909360246,18.1401976475193,0,0,0,0,0,0,0,0,239.474539769794,398.149021697836,231.361374216383,58.4728596184843
732196.417500625,06-Sep-2004 10:01:12,732196.417500625,732196.417500625,SS0408_008,0.214466146146609,0.214466146146609,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7520008087158,152.914376894704,OPC2T,6,SS2004,MNF,Oblique,0.0003,0.012,17.7149835610651,35.5884311539699,43.6270155271682,31.2986701353647,51.2545505781308,109.33567030799,25.5000025033951,107.233061685133,-0.910096704620315,-9.66482782556427,0.956369481174556,0,-0.932164491569276,2.1061575283365,0.933307790272592,-0.59297972398505,-0.649783595871341,0.975634418487514,0,0,794.51803843488,8113.16858750536,1740,0.000516308619500479,22.9595096293627,2.40125341189365,12,3261.73028860202,3512.63261849448,2308.30143501066,2478.91501933753,1545.55835213757,1214.36727667952,712.562616894596,381.371541436544,311.118889066654,80.2887455655882,50.1804659784925,50.1804659784925,10.0360931956985,0,20.072186391397,0,0,0,0,0,0,0,22.9595096293627,39.1874759379625,40.8138048116469,69.4666251603944,68.6435867339003,85.4800204662427,79.4945940455811,67.4315036018513,87.184833197256,35.6590060955326,35.3223225067118,55.9821084828036,17.745132526803,0,89.1475152388314,0,0,0,0,0,0,0,172.427415539366,301.049704847575,214.148270282304,162.874756248438
732196.41834015,06-Sep-2004 10:02:24,732196.41834015,732196.41834015,SS0408_008,0.316252263508634,0.316252263508634,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7519091924053,152.917625745104,OPC2T,7,SS2004,MNF,Oblique,0.0003,0.012,18.4822705348539,35.6319900657134,12.2863178367736,2.54551364335219,29.4717097096573,160.234465884369,37.5000078231096,158.126118851507,-1.0312012829391,-10.9476195816591,0.967465402790411,0,-1.08813552044638,2.03558647801694,0.954506056583255,-0.657867546280443,-0.731475475358499,0.994763741199671,0,0,811.746228209753,11079.7625956101,3504,0.000495788051715754,33.2478696219303,2.40125341189365,12,4723.34057338276,5676.1758475522,3961.07235404721,3103.52060729472,1973.73021077954,1020.89493661011,701.014523138941,374.328143423706,265.432683518628,129.31335863728,54.447729952539,20.4178987322021,6.80596624406738,6.80596624406738,6.80596624406738,0,0,0,0,0,0,0,33.2478696219303,63.324300774993,70.0369680713503,86.9699449245811,87.6601784239235,71.8613896727601,78.2062707412983,66.1861382117571,74.3821897381285,57.432530691536,38.3260744921387,22.7785254586306,12.0338433112286,19.0723563431099,30.2276477323874,0,0,0,0,0,0,0,253.579083392855,303.913977049739,192.919320380434,84.1123728453564
732196.418875039,06-Sep-2004 10:03:10,732196.418875039,732196.418875039,SS0408_008,0.433355699728412,0.433355699728412,NaN,NaN,NaN,NaN,ObliqueDistance,-31.7518344275154,152.919681609557,OPC2T,7,SS2004,MNF,Oblique,0.0003,0.012,17.8147523619735,35.6021934151317,48.8502714572386,31.6511390668769,57.4143214995947,218.80360991942,54.5000061392784,216.695260841035,-1.02531435979242,-10.9225345809033,0.949387716027359,0,-1.20022112398551,1.74154546942341,0.949040647142824,-0.699535250498697,-0.805277820190802,0.98891471345202,0,0,520.566173660936,8263.41963944226,3581,0.000482984407952603,26.6059112896177,2.40125341189365,12,3779.75436366553,3715.18562946363,2428.7777711333,2403.94364259411,1380.77754677926,998.331967275652,491.715745076069,268.20858822331,104.30333986462,39.7346056627126,19.8673028313563,14.9004771235172,4.96682570783907,0,4.96682570783907,0,0,0,0,0,0,0,26.6059112896177,41.4471888386863,42.943984861944,67.3657025852486,61.3251018063974,70.27316910924,54.8565734629672,47.4228053690179,29.2289205431863,17.6475113111934,13.9847102704955,16.623204079687,8.78200099426258,0,22.0593891389918,0,0,0,0,0,0,0,178.362787575497,233.877649747622,77.4843462045623,47.4645942129414
