"Latitude","Longitude","Bathymetry","site"
"-28.6",153.72,-62,"CapeByron"
"-31.8",153.73,-4423,"DiamondHead"
"-30",153.73,-1234,"NorthSolitary"
"-29",153.73,-79,"EvansHead"
"-28.6",153.73,-67,"CapeByron"
"-31.8",153.74,-4429,"DiamondHead"
"-30",153.74,-1290,"NorthSolitary"
"-29",153.74,-80,"EvansHead"
"-28.6",153.74,-68,"CapeByron"
"-31.8",153.75,-4438,"DiamondHead"
"-30",153.75,-1348,"NorthSolitary"
"-29",153.75,-82,"EvansHead"
"-28.6",153.75,-71,"CapeByron"
"-31.8",153.76,-4462,"DiamondHead"
"-30",153.76,-1471,"NorthSolitary"
"-29",153.76,-87,"EvansHead"
"-28.6",153.76,-77,"CapeByron"
"-31.8",153.77,-4476,"DiamondHead"
"-30",153.77,-1531,"NorthSolitary"
"-29",153.77,-89,"EvansHead"
"-28.6",153.77,-82,"CapeByron"
"-31.8",153.78,-4490,"DiamondHead"
"-30",153.78,-1590,"NorthSolitary"
"-29",153.78,-92,"EvansHead"
"-28.6",153.78,-87,"CapeByron"
"-31.8",153.79,-4505,"DiamondHead"
"-30",153.79,-1648,"NorthSolitary"
"-29",153.79,-98,"EvansHead"
"-28.6",153.79,-90,"CapeByron"
"-31.8",153.8,-4537,"DiamondHead"
"-30",153.8,-1771,"NorthSolitary"
"-29",153.8,-115,"EvansHead"
"-28.6",153.8,-104,"CapeByron"
"-31.8",153.81,-4553,"DiamondHead"
"-30",153.81,-1834,"NorthSolitary"
"-29",153.81,-130,"EvansHead"
"-28.6",153.81,-111,"CapeByron"
"-31.8",153.82,-4570,"DiamondHead"
"-30",153.82,-1896,"NorthSolitary"
"-29",153.82,-149,"EvansHead"
"-28.6",153.82,-118,"CapeByron"
"-31.8",153.83,-4585,"DiamondHead"
"-30",153.83,-1957,"NorthSolitary"
"-29",153.83,-169,"EvansHead"
"-28.6",153.83,-125,"CapeByron"
"-31.8",153.84,-4597,"DiamondHead"
"-30",153.84,-2020,"NorthSolitary"
"-29",153.84,-197,"EvansHead"
"-28.6",153.84,-134,"CapeByron"
"-31.8",153.85,-4605,"DiamondHead"
"-30",153.85,-2085,"NorthSolitary"
"-29",153.85,-256,"EvansHead"
"-28.6",153.85,-152,"CapeByron"
"-31.8",153.86,-4613,"DiamondHead"
"-30",153.86,-2230,"NorthSolitary"
"-29",153.86,-464,"EvansHead"
"-28.6",153.86,-185,"CapeByron"
"-31.8",153.87,-4613,"DiamondHead"
"-30",153.87,-2314,"NorthSolitary"
"-29",153.87,-582,"EvansHead"
"-28.6",153.87,-194,"CapeByron"
"-31.8",153.88,-4612,"DiamondHead"
"-30",153.88,-2408,"NorthSolitary"
"-29",153.88,-701,"EvansHead"
"-28.6",153.88,-204,"CapeByron"
"-31.8",153.89,-4610,"DiamondHead"
"-30",153.89,-2515,"NorthSolitary"
"-29",153.89,-813,"EvansHead"
"-28.6",153.89,-212,"CapeByron"
"-31.8",153.9,-4609,"DiamondHead"
"-30",153.9,-2635,"NorthSolitary"
"-29",153.9,-931,"EvansHead"
"-28.6",153.9,-221,"CapeByron"
"-31.8",153.91,-4611,"DiamondHead"
"-30",153.91,-2916,"NorthSolitary"
"-29",153.91,-1173,"EvansHead"
"-28.6",153.91,-285,"CapeByron"
"-31.8",153.92,-4612,"DiamondHead"
"-30",153.92,-3070,"NorthSolitary"
"-29",153.92,-1333,"EvansHead"
"-28.6",153.92,-323,"CapeByron"
"-31.8",153.93,-4616,"DiamondHead"
"-30",153.93,-3222,"NorthSolitary"
"-29",153.93,-1483,"EvansHead"
"-28.6",153.93,-398,"CapeByron"
"-31.8",153.94,-4620,"DiamondHead"
"-30",153.94,-3364,"NorthSolitary"
"-29",153.94,-1606,"EvansHead"
"-28.6",153.94,-519,"CapeByron"
"-31.8",153.95,-4624,"DiamondHead"
"-30",153.95,-3496,"NorthSolitary"
"-29",153.95,-1693,"EvansHead"
"-28.6",153.95,-709,"CapeByron"
"-31.8",153.96,-4631,"DiamondHead"
"-30",153.96,-3696,"NorthSolitary"
"-29",153.96,-1756,"EvansHead"
"-28.6",153.96,-940,"CapeByron"
"-31.8",153.97,-4634,"DiamondHead"
"-30",153.97,-3794,"NorthSolitary"
"-29",153.97,-1778,"EvansHead"
"-28.6",153.97,-975,"CapeByron"
"-31.8",153.98,-4637,"DiamondHead"
"-30",153.98,-3890,"NorthSolitary"
"-29",153.98,-1822,"EvansHead"
"-28.6",153.98,-1052,"CapeByron"
"-31.8",153.99,-4639,"DiamondHead"
"-30",153.99,-3985,"NorthSolitary"
"-29",153.99,-1893,"EvansHead"
"-28.6",153.99,-1173,"CapeByron"
"-31.8",154,-4640,"DiamondHead"
"-30",154,-4071,"NorthSolitary"
"-29",154,-1973,"EvansHead"
"-28.6",154,-1310,"CapeByron"
"-31.8",154.01,-4639,"DiamondHead"
"-30",154.01,-4209,"NorthSolitary"
"-29",154.01,-2153,"EvansHead"
"-28.6",154.01,-1591,"CapeByron"
"-31.8",154.02,-4637,"DiamondHead"
"-30",154.02,-4264,"NorthSolitary"
"-29",154.02,-2247,"EvansHead"
"-28.6",154.02,-1726,"CapeByron"
"-31.8",154.03,-4636,"DiamondHead"
"-30",154.03,-4310,"NorthSolitary"
"-29",154.03,-2321,"EvansHead"
"-28.6",154.03,-1843,"CapeByron"
"-31.8",154.04,-4637,"DiamondHead"
"-30",154.04,-4352,"NorthSolitary"
"-29",154.04,-2377,"EvansHead"
"-28.6",154.04,-1941,"CapeByron"
"-31.8",154.05,-4641,"DiamondHead"
"-30",154.05,-4426,"NorthSolitary"
"-29",154.05,-2474,"EvansHead"
"-28.6",154.05,-2074,"CapeByron"
"-31.8",154.06,-4646,"DiamondHead"
"-30",154.06,-4467,"NorthSolitary"
"-29",154.06,-2516,"EvansHead"
"-28.6",154.06,-2114,"CapeByron"
"-31.8",154.07,-4657,"DiamondHead"
"-30",154.07,-4510,"NorthSolitary"
"-29",154.07,-2557,"EvansHead"
"-28.6",154.07,-2157,"CapeByron"
"-31.8",154.08,-4663,"DiamondHead"
"-30",154.08,-4540,"NorthSolitary"
"-29",154.08,-2600,"EvansHead"
"-28.6",154.08,-2202,"CapeByron"
"-31.8",154.09,-4665,"DiamondHead"
"-30",154.09,-4559,"NorthSolitary"
"-29",154.09,-2645,"EvansHead"
"-28.6",154.09,-2249,"CapeByron"
"-31.8",154.1,-4663,"DiamondHead"
"-30",154.1,-4572,"NorthSolitary"
"-29",154.1,-2694,"EvansHead"
"-28.6",154.1,-2299,"CapeByron"
"-31.8",154.11,-4686,"DiamondHead"
"-30",154.11,-4592,"NorthSolitary"
"-29",154.11,-2797,"EvansHead"
"-28.6",154.11,-2394,"CapeByron"
"-31.8",154.12,-4694,"DiamondHead"
"-30",154.12,-4603,"NorthSolitary"
"-29",154.12,-2852,"EvansHead"
"-28.6",154.12,-2440,"CapeByron"
"-31.8",154.13,-4700,"DiamondHead"
"-30",154.13,-4612,"NorthSolitary"
"-29",154.13,-2904,"EvansHead"
"-28.6",154.13,-2489,"CapeByron"
"-31.8",154.14,-4706,"DiamondHead"
"-30",154.14,-4621,"NorthSolitary"
"-29",154.14,-2955,"EvansHead"
"-28.6",154.14,-2536,"CapeByron"
"-31.8",154.15,-4714,"DiamondHead"
"-30",154.15,-4627,"NorthSolitary"
"-29",154.15,-3004,"EvansHead"
"-28.6",154.15,-2582,"CapeByron"
"-31.8",154.16,-4703,"DiamondHead"
"-30",154.16,-4636,"NorthSolitary"
"-29",154.16,-3102,"EvansHead"
"-28.6",154.16,-2670,"CapeByron"
"-31.8",154.17,-4699,"DiamondHead"
"-30",154.17,-4637,"NorthSolitary"
"-29",154.17,-3146,"EvansHead"
"-28.6",154.17,-2713,"CapeByron"
"-31.8",154.18,-4700,"DiamondHead"
"-30",154.18,-4635,"NorthSolitary"
"-29",154.18,-3184,"EvansHead"
"-28.6",154.18,-2755,"CapeByron"
"-31.8",154.19,-4703,"DiamondHead"
"-30",154.19,-4633,"NorthSolitary"
"-29",154.19,-3216,"EvansHead"
"-28.6",154.19,-2795,"CapeByron"
"-31.8",154.2,-4704,"DiamondHead"
"-30",154.2,-4630,"NorthSolitary"
"-29",154.2,-3242,"EvansHead"
"-28.6",154.2,-2834,"CapeByron"
"-31.8",154.21,-4699,"DiamondHead"
"-30",154.21,-4622,"NorthSolitary"
"-29",154.21,-3262,"EvansHead"
"-28.6",154.21,-2902,"CapeByron"
"-31.8",154.22,-4697,"DiamondHead"
"-30",154.22,-4617,"NorthSolitary"
"-29",154.22,-3265,"EvansHead"
"-28.6",154.22,-2931,"CapeByron"
"-31.8",154.23,-4695,"DiamondHead"
"-30",154.23,-4612,"NorthSolitary"
"-29",154.23,-3265,"EvansHead"
"-28.6",154.23,-2959,"CapeByron"
"-31.8",154.24,-4693,"DiamondHead"
"-30",154.24,-4608,"NorthSolitary"
"-29",154.24,-3261,"EvansHead"
"-28.6",154.24,-2983,"CapeByron"
"-31.8",154.25,-4691,"DiamondHead"
"-30",154.25,-4604,"NorthSolitary"
"-29",154.25,-3256,"EvansHead"
"-28.6",154.25,-3007,"CapeByron"
"-31.8",154.26,-4687,"DiamondHead"
"-30",154.26,-4599,"NorthSolitary"
"-29",154.26,-3247,"EvansHead"
"-28.6",154.26,-3056,"CapeByron"
"-31.8",154.27,-4684,"DiamondHead"
"-30",154.27,-4599,"NorthSolitary"
"-29",154.27,-3248,"EvansHead"
"-28.6",154.27,-3082,"CapeByron"
"-31.8",154.28,-4678,"DiamondHead"
"-30",154.28,-4598,"NorthSolitary"
"-29",154.28,-3259,"EvansHead"
"-28.6",154.28,-3108,"CapeByron"
"-31.8",154.29,-4672,"DiamondHead"
"-30",154.29,-4598,"NorthSolitary"
"-29",154.29,-3277,"EvansHead"
"-28.6",154.29,-3133,"CapeByron"
"-31.8",154.3,-4657,"DiamondHead"
"-30",154.3,-4599,"NorthSolitary"
"-29",154.3,-3334,"EvansHead"
"-28.6",154.3,-3184,"CapeByron"
"-31.8",154.31,-4650,"DiamondHead"
"-30",154.31,-4599,"NorthSolitary"
"-29",154.31,-3379,"EvansHead"
"-28.6",154.31,-3211,"CapeByron"
"-31.8",154.32,-4644,"DiamondHead"
"-30",154.32,-4599,"NorthSolitary"
"-29",154.32,-3430,"EvansHead"
"-28.6",154.32,-3237,"CapeByron"
"-31.8",154.33,-4638,"DiamondHead"
"-30",154.33,-4600,"NorthSolitary"
"-29",154.33,-3485,"EvansHead"
"-28.6",154.33,-3262,"CapeByron"
"-31.8",154.34,-4633,"DiamondHead"
"-30",154.34,-4601,"NorthSolitary"
"-29",154.34,-3543,"EvansHead"
"-28.6",154.34,-3286,"CapeByron"
"-31.8",154.35,-4630,"DiamondHead"
"-30",154.35,-4602,"NorthSolitary"
"-29",154.35,-3605,"EvansHead"
"-28.6",154.35,-3310,"CapeByron"
"-31.8",154.36,-4626,"DiamondHead"
"-30",154.36,-4603,"NorthSolitary"
"-29",154.36,-3728,"EvansHead"
"-28.6",154.36,-3357,"CapeByron"
"-31.8",154.37,-4626,"DiamondHead"
"-30",154.37,-4601,"NorthSolitary"
"-29",154.37,-3785,"EvansHead"
"-28.6",154.37,-3385,"CapeByron"
"-31.8",154.38,-4626,"DiamondHead"
"-30",154.38,-4596,"NorthSolitary"
"-29",154.38,-3837,"EvansHead"
"-28.6",154.38,-3424,"CapeByron"
"-31.8",154.39,-4627,"DiamondHead"
"-30",154.39,-4590,"NorthSolitary"
"-29",154.39,-3883,"EvansHead"
"-28.6",154.39,-3470,"CapeByron"
"-31.8",154.4,-4627,"DiamondHead"
"-30",154.4,-4584,"NorthSolitary"
"-29",154.4,-3922,"EvansHead"
"-28.6",154.4,-3517,"CapeByron"
"-31.8",154.41,-4630,"DiamondHead"
"-30",154.41,-4573,"NorthSolitary"
"-29",154.41,-3983,"EvansHead"
"-28.6",154.41,-3615,"CapeByron"
"-31.8",154.42,-4632,"DiamondHead"
"-30",154.42,-4571,"NorthSolitary"
"-29",154.42,-4006,"EvansHead"
"-28.6",154.42,-3663,"CapeByron"
"-31.8",154.43,-4635,"DiamondHead"
"-30",154.43,-4574,"NorthSolitary"
"-29",154.43,-4024,"EvansHead"
"-28.6",154.43,-3708,"CapeByron"
"-31.8",154.44,-4640,"DiamondHead"
"-30",154.44,-4578,"NorthSolitary"
"-29",154.44,-4039,"EvansHead"
"-28.6",154.44,-3753,"CapeByron"
"-31.8",154.45,-4647,"DiamondHead"
"-30",154.45,-4587,"NorthSolitary"
"-29",154.45,-4053,"EvansHead"
"-28.6",154.45,-3794,"CapeByron"
"-31.8",154.46,-4666,"DiamondHead"
"-30",154.46,-4603,"NorthSolitary"
"-29",154.46,-4084,"EvansHead"
"-28.6",154.46,-3851,"CapeByron"
"-31.8",154.47,-4678,"DiamondHead"
"-30",154.47,-4607,"NorthSolitary"
"-29",154.47,-4101,"EvansHead"
"-28.6",154.47,-3881,"CapeByron"
"-31.8",154.48,-4689,"DiamondHead"
"-30",154.48,-4606,"NorthSolitary"
"-29",154.48,-4122,"EvansHead"
"-28.6",154.48,-3909,"CapeByron"
"-31.8",154.49,-4701,"DiamondHead"
"-30",154.49,-4602,"NorthSolitary"
"-29",154.49,-4145,"EvansHead"
"-28.6",154.49,-3930,"CapeByron"
"-31.8",154.5,-4712,"DiamondHead"
"-30",154.5,-4599,"NorthSolitary"
"-29",154.5,-4171,"EvansHead"
"-28.6",154.5,-3951,"CapeByron"
"-31.8",154.51,-4732,"DiamondHead"
"-30",154.51,-4602,"NorthSolitary"
"-29",154.51,-4234,"EvansHead"
"-28.6",154.51,-3983,"CapeByron"
"-31.8",154.52,-4740,"DiamondHead"
"-30",154.52,-4607,"NorthSolitary"
"-29",154.52,-4269,"EvansHead"
"-28.6",154.52,-4000,"CapeByron"
"-31.8",154.53,-4746,"DiamondHead"
"-30",154.53,-4610,"NorthSolitary"
"-29",154.53,-4304,"EvansHead"
"-28.6",154.53,-4017,"CapeByron"
"-31.8",154.54,-4749,"DiamondHead"
"-30",154.54,-4611,"NorthSolitary"
"-29",154.54,-4338,"EvansHead"
"-28.6",154.54,-4036,"CapeByron"
"-31.8",154.55,-4755,"DiamondHead"
"-30",154.55,-4607,"NorthSolitary"
"-29",154.55,-4407,"EvansHead"
"-28.6",154.55,-4093,"CapeByron"
"-31.8",154.56,-4753,"DiamondHead"
"-30",154.56,-4599,"NorthSolitary"
"-29",154.56,-4434,"EvansHead"
"-28.6",154.56,-4123,"CapeByron"
"-31.8",154.57,-4749,"DiamondHead"
"-30",154.57,-4591,"NorthSolitary"
"-29",154.57,-4456,"EvansHead"
"-28.6",154.57,-4154,"CapeByron"
"-31.8",154.58,-4743,"DiamondHead"
"-30",154.58,-4585,"NorthSolitary"
"-29",154.58,-4473,"EvansHead"
"-28.6",154.58,-4188,"CapeByron"
"-31.8",154.59,-4736,"DiamondHead"
"-30",154.59,-4577,"NorthSolitary"
"-29",154.59,-4487,"EvansHead"
"-28.6",154.59,-4227,"CapeByron"
"-31.8",154.6,-4730,"DiamondHead"
"-30",154.6,-4568,"NorthSolitary"
"-29",154.6,-4496,"EvansHead"
"-28.6",154.6,-4270,"CapeByron"
"-31.8",154.61,-4723,"DiamondHead"
"-30",154.61,-4549,"NorthSolitary"
"-29",154.61,-4506,"EvansHead"
"-28.6",154.61,-4369,"CapeByron"
"-31.8",154.62,-4724,"DiamondHead"
"-30",154.62,-4534,"NorthSolitary"
"-29",154.62,-4509,"EvansHead"
"-28.6",154.62,-4424,"CapeByron"
"-31.8",154.63,-4728,"DiamondHead"
"-30",154.63,-4520,"NorthSolitary"
"-29",154.63,-4510,"EvansHead"
"-28.6",154.63,-4479,"CapeByron"
"-31.8",154.64,-4733,"DiamondHead"
"-30",154.64,-4505,"NorthSolitary"
"-29",154.64,-4511,"EvansHead"
"-28.6",154.64,-4531,"CapeByron"
"-31.8",154.65,-4739,"DiamondHead"
"-30",154.65,-4490,"NorthSolitary"
"-29",154.65,-4515,"EvansHead"
"-28.6",154.65,-4580,"CapeByron"
"-31.8",154.66,-4751,"DiamondHead"
"-30",154.66,-4455,"NorthSolitary"
"-29",154.66,-4530,"EvansHead"
"-28.6",154.66,-4660,"CapeByron"
"-31.8",154.67,-4757,"DiamondHead"
"-30",154.67,-4442,"NorthSolitary"
"-29",154.67,-4543,"EvansHead"
"-28.6",154.67,-4686,"CapeByron"
"-31.8",154.68,-4763,"DiamondHead"
"-30",154.68,-4428,"NorthSolitary"
"-29",154.68,-4558,"EvansHead"
"-28.6",154.68,-4701,"CapeByron"
"-31.8",154.69,-4768,"DiamondHead"
"-30",154.69,-4419,"NorthSolitary"
"-29",154.69,-4574,"EvansHead"
"-28.6",154.69,-4711,"CapeByron"
"-31.8",154.7,-4774,"DiamondHead"
"-30",154.7,-4413,"NorthSolitary"
"-29",154.7,-4586,"EvansHead"
"-28.6",154.7,-4718,"CapeByron"
"-31.8",154.71,-4782,"DiamondHead"
"-30",154.71,-4409,"NorthSolitary"
"-29",154.71,-4596,"EvansHead"
"-28.6",154.71,-4730,"CapeByron"
"-31.8",154.72,-4786,"DiamondHead"
"-30",154.72,-4410,"NorthSolitary"
"-29",154.72,-4603,"EvansHead"
"-28.6",154.72,-4734,"CapeByron"
"-31.8",154.73,-4789,"DiamondHead"
"-30",154.73,-4412,"NorthSolitary"
"-29",154.73,-4614,"EvansHead"
"-28.6",154.73,-4737,"CapeByron"
"-31.8",154.74,-4790,"DiamondHead"
"-30",154.74,-4419,"NorthSolitary"
"-29",154.74,-4623,"EvansHead"
"-28.6",154.74,-4737,"CapeByron"
"-31.8",154.75,-4791,"DiamondHead"
"-30",154.75,-4425,"NorthSolitary"
"-29",154.75,-4634,"EvansHead"
"-28.6",154.75,-4736,"CapeByron"
"-31.8",154.76,-4785,"DiamondHead"
"-30",154.76,-4446,"NorthSolitary"
"-29",154.76,-4649,"EvansHead"
"-28.6",154.76,-4725,"CapeByron"
"-31.8",154.77,-4780,"DiamondHead"
"-30",154.77,-4456,"NorthSolitary"
"-29",154.77,-4655,"EvansHead"
"-28.6",154.77,-4717,"CapeByron"
"-31.8",154.78,-4776,"DiamondHead"
"-30",154.78,-4470,"NorthSolitary"
"-29",154.78,-4655,"EvansHead"
"-28.6",154.78,-4706,"CapeByron"
"-31.8",154.79,-4771,"DiamondHead"
"-30",154.79,-4485,"NorthSolitary"
"-29",154.79,-4656,"EvansHead"
"-28.6",154.79,-4697,"CapeByron"
"-31.8",154.8,-4759,"DiamondHead"
"-30",154.8,-4515,"NorthSolitary"
"-29",154.8,-4656,"EvansHead"
"-28.6",154.8,-4677,"CapeByron"
"-31.8",154.81,-4753,"DiamondHead"
"-30",154.81,-4530,"NorthSolitary"
"-29",154.81,-4652,"EvansHead"
"-28.6",154.81,-4668,"CapeByron"
"-31.8",154.82,-4747,"DiamondHead"
"-30",154.82,-4547,"NorthSolitary"
"-29",154.82,-4646,"EvansHead"
"-28.6",154.82,-4658,"CapeByron"
"-31.8",154.83,-4743,"DiamondHead"
"-30",154.83,-4564,"NorthSolitary"
"-29",154.83,-4640,"EvansHead"
"-28.6",154.83,-4647,"CapeByron"
"-31.8",154.84,-4742,"DiamondHead"
"-30",154.84,-4579,"NorthSolitary"
"-29",154.84,-4634,"EvansHead"
"-28.6",154.84,-4636,"CapeByron"
"-31.8",154.85,-4744,"DiamondHead"
"-30",154.85,-4595,"NorthSolitary"
"-29",154.85,-4630,"EvansHead"
"-28.6",154.85,-4622,"CapeByron"
"-31.8",154.86,-4756,"DiamondHead"
"-30",154.86,-4622,"NorthSolitary"
"-29",154.86,-4625,"EvansHead"
"-28.6",154.86,-4597,"CapeByron"
"-31.8",154.87,-4763,"DiamondHead"
"-30",154.87,-4637,"NorthSolitary"
"-29",154.87,-4625,"EvansHead"
"-28.6",154.87,-4581,"CapeByron"
"-31.8",154.88,-4771,"DiamondHead"
"-30",154.88,-4650,"NorthSolitary"
"-29",154.88,-4628,"EvansHead"
"-28.6",154.88,-4567,"CapeByron"
"-31.8",154.89,-4781,"DiamondHead"
"-30",154.89,-4661,"NorthSolitary"
"-29",154.89,-4633,"EvansHead"
"-28.6",154.89,-4553,"CapeByron"
"-31.8",154.9,-4791,"DiamondHead"
"-30",154.9,-4668,"NorthSolitary"
"-29",154.9,-4638,"EvansHead"
"-28.6",154.9,-4538,"CapeByron"
"-31.8",154.91,-4826,"DiamondHead"
"-30",154.91,-4680,"NorthSolitary"
"-29",154.91,-4655,"EvansHead"
"-28.6",154.91,-4509,"CapeByron"
"-31.8",154.92,-4845,"DiamondHead"
"-30",154.92,-4682,"NorthSolitary"
"-29",154.92,-4661,"EvansHead"
"-28.6",154.92,-4498,"CapeByron"
"-31.8",154.93,-4850,"DiamondHead"
"-30",154.93,-4682,"NorthSolitary"
"-29",154.93,-4667,"EvansHead"
"-28.6",154.93,-4487,"CapeByron"
"-31.8",154.94,-4838,"DiamondHead"
"-30",154.94,-4679,"NorthSolitary"
"-29",154.94,-4671,"EvansHead"
"-28.6",154.94,-4479,"CapeByron"
"-31.8",154.95,-4812,"DiamondHead"
"-30",154.95,-4674,"NorthSolitary"
"-29",154.95,-4668,"EvansHead"
"-28.6",154.95,-4477,"CapeByron"
"-31.8",154.96,-4723,"DiamondHead"
"-30",154.96,-4663,"NorthSolitary"
"-29",154.96,-4661,"EvansHead"
"-28.6",154.96,-4481,"CapeByron"
"-31.8",154.97,-4661,"DiamondHead"
"-30",154.97,-4658,"NorthSolitary"
"-29",154.97,-4659,"EvansHead"
"-28.6",154.97,-4488,"CapeByron"
"-31.8",154.98,-4610,"DiamondHead"
"-30",154.98,-4653,"NorthSolitary"
"-29",154.98,-4664,"EvansHead"
"-28.6",154.98,-4494,"CapeByron"
"-31.8",154.99,-4577,"DiamondHead"
"-30",154.99,-4655,"NorthSolitary"
"-29",154.99,-4670,"EvansHead"
"-28.6",154.99,-4503,"CapeByron"
"-31.8",155,-4547,"DiamondHead"
"-30",155,-4643,"NorthSolitary"
"-29",155,-4677,"EvansHead"
"-28.6",155,-4500,"CapeByron"
