"Latitude","Longitude","Bathymetry","site"
"-31.8",152.35,134,"DiamondHead"
"-30",152.35,979,"NorthSolitary"
"-29",152.35,344,"EvansHead"
"-28.6",152.35,397,"CapeByron"
"-31.8",152.36,51,"DiamondHead"
"-30",152.36,911,"NorthSolitary"
"-29",152.36,358,"EvansHead"
"-28.6",152.36,565,"CapeByron"
"-31.8",152.37,39,"DiamondHead"
"-30",152.37,842,"NorthSolitary"
"-29",152.37,393,"EvansHead"
"-28.6",152.37,575,"CapeByron"
"-31.8",152.38,34,"DiamondHead"
"-30",152.38,769,"NorthSolitary"
"-29",152.38,346,"EvansHead"
"-28.6",152.38,571,"CapeByron"
"-31.8",152.39,32,"DiamondHead"
"-30",152.39,737,"NorthSolitary"
"-29",152.39,468,"EvansHead"
"-28.6",152.39,521,"CapeByron"
"-31.8",152.4,41,"DiamondHead"
"-30",152.4,719,"NorthSolitary"
"-29",152.4,586,"EvansHead"
"-28.6",152.4,415,"CapeByron"
"-31.8",152.41,38,"DiamondHead"
"-30",152.41,672,"NorthSolitary"
"-29",152.41,666,"EvansHead"
"-28.6",152.41,356,"CapeByron"
"-31.8",152.42,62,"DiamondHead"
"-30",152.42,688,"NorthSolitary"
"-29",152.42,604,"EvansHead"
"-28.6",152.42,340,"CapeByron"
"-31.8",152.43,75,"DiamondHead"
"-30",152.43,749,"NorthSolitary"
"-29",152.43,593,"EvansHead"
"-28.6",152.43,344,"CapeByron"
"-31.8",152.44,72,"DiamondHead"
"-30",152.44,722,"NorthSolitary"
"-29",152.44,581,"EvansHead"
"-28.6",152.44,330,"CapeByron"
"-31.8",152.45,68,"DiamondHead"
"-30",152.45,782,"NorthSolitary"
"-29",152.45,516,"EvansHead"
"-28.6",152.45,360,"CapeByron"
"-31.8",152.46,39,"DiamondHead"
"-30",152.46,794,"NorthSolitary"
"-29",152.46,300,"EvansHead"
"-28.6",152.46,478,"CapeByron"
"-31.8",152.47,29,"DiamondHead"
"-30",152.47,817,"NorthSolitary"
"-29",152.47,232,"EvansHead"
"-28.6",152.47,472,"CapeByron"
"-31.8",152.48,36,"DiamondHead"
"-30",152.48,782,"NorthSolitary"
"-29",152.48,311,"EvansHead"
"-28.6",152.48,488,"CapeByron"
"-31.8",152.49,45,"DiamondHead"
"-30",152.49,751,"NorthSolitary"
"-29",152.49,430,"EvansHead"
"-28.6",152.49,583,"CapeByron"
"-31.8",152.5,48,"DiamondHead"
"-30",152.5,755,"NorthSolitary"
"-29",152.5,396,"EvansHead"
"-28.6",152.5,618,"CapeByron"
"-31.8",152.51,20,"DiamondHead"
"-30",152.51,788,"NorthSolitary"
"-29",152.51,270,"EvansHead"
